Explainer,acc_initial_right,acc_initial_wrong,n,mask,Detector
Anchor,1.0,0.0,0,True,DetectorDetectGPT
LIME,1.0,0.0,0,True,DetectorDetectGPT
Random,1.0,0.0,0,True,DetectorDetectGPT
Random,1.0,0.0,0,True,DetectorDetectGPT
Random,1.0,0.0,0,True,DetectorDetectGPT
Random,1.0,0.0,0,True,DetectorDetectGPT
Random,1.0,0.0,0,True,DetectorDetectGPT
SHAP,1.0,0.0,0,True,DetectorDetectGPT
Anchor,0.8923766816143498,1.0,1,True,DetectorDetectGPT
LIME,0.9162995594713657,0.15584415584415584,1,True,DetectorDetectGPT
Random,0.9495798319327731,0.2682926829268293,1,True,DetectorDetectGPT
Random,0.9107142857142857,0.2926829268292683,1,True,DetectorDetectGPT
Random,0.9583333333333334,0.3333333333333333,1,True,DetectorDetectGPT
Random,0.9433962264150944,0.17142857142857143,1,True,DetectorDetectGPT
Random,0.9316239316239316,0.28205128205128205,1,True,DetectorDetectGPT
SHAP,0.8986784140969163,0.23076923076923078,1,True,DetectorDetectGPT
Anchor,0.874439461883408,1.0,2,True,DetectorDetectGPT
LIME,0.8325991189427313,0.22077922077922077,2,True,DetectorDetectGPT
Random,0.8571428571428571,0.4634146341463415,2,True,DetectorDetectGPT
Random,0.8214285714285714,0.4634146341463415,2,True,DetectorDetectGPT
Random,0.8854166666666666,0.47619047619047616,2,True,DetectorDetectGPT
Random,0.8867924528301887,0.4857142857142857,2,True,DetectorDetectGPT
Random,0.8803418803418803,0.38461538461538464,2,True,DetectorDetectGPT
SHAP,0.8722466960352423,0.34615384615384615,2,True,DetectorDetectGPT
Anchor,0.8654708520179372,1.0,3,True,DetectorDetectGPT
LIME,0.7841409691629956,0.38961038961038963,3,True,DetectorDetectGPT
Random,0.8403361344537815,0.5609756097560976,3,True,DetectorDetectGPT
Random,0.7589285714285714,0.5121951219512195,3,True,DetectorDetectGPT
Random,0.8229166666666666,0.5952380952380952,3,True,DetectorDetectGPT
Random,0.8207547169811321,0.6,3,True,DetectorDetectGPT
Random,0.7948717948717948,0.5384615384615384,3,True,DetectorDetectGPT
SHAP,0.7841409691629956,0.4358974358974359,3,True,DetectorDetectGPT
Anchor,0.8654708520179372,1.0,4,True,DetectorDetectGPT
LIME,0.7400881057268722,0.45454545454545453,4,True,DetectorDetectGPT
Random,0.6974789915966386,0.6585365853658537,4,True,DetectorDetectGPT
Random,0.7142857142857143,0.6097560975609756,4,True,DetectorDetectGPT
Random,0.7395833333333334,0.5952380952380952,4,True,DetectorDetectGPT
Random,0.7830188679245284,0.7142857142857143,4,True,DetectorDetectGPT
Random,0.6752136752136753,0.6666666666666666,4,True,DetectorDetectGPT
SHAP,0.7400881057268722,0.5,4,True,DetectorDetectGPT
Anchor,0.8609865470852018,1.0,5,True,DetectorDetectGPT
LIME,0.6960352422907489,0.5064935064935064,5,True,DetectorDetectGPT
Random,0.6302521008403361,0.7560975609756098,5,True,DetectorDetectGPT
Random,0.6607142857142857,0.7560975609756098,5,True,DetectorDetectGPT
Random,0.7083333333333334,0.6428571428571429,5,True,DetectorDetectGPT
Random,0.7169811320754716,0.7428571428571429,5,True,DetectorDetectGPT
Random,0.5897435897435898,0.6923076923076923,5,True,DetectorDetectGPT
SHAP,0.6696035242290749,0.41025641025641024,5,True,DetectorDetectGPT
Anchor,0.852017937219731,1.0,6,True,DetectorDetectGPT
LIME,0.6784140969162996,0.4805194805194805,6,True,DetectorDetectGPT
Random,0.6218487394957983,0.6585365853658537,6,True,DetectorDetectGPT
Random,0.5803571428571429,0.7317073170731707,6,True,DetectorDetectGPT
Random,0.65625,0.7142857142857143,6,True,DetectorDetectGPT
Random,0.5754716981132075,0.8285714285714286,6,True,DetectorDetectGPT
Random,0.5470085470085471,0.7692307692307693,6,True,DetectorDetectGPT
SHAP,0.6167400881057269,0.5256410256410257,6,True,DetectorDetectGPT
Anchor,0.8295964125560538,1.0,7,True,DetectorDetectGPT
LIME,0.6784140969162996,0.5194805194805194,7,True,DetectorDetectGPT
Random,0.5126050420168067,0.7804878048780488,7,True,DetectorDetectGPT
Random,0.5625,0.7317073170731707,7,True,DetectorDetectGPT
Random,0.6666666666666666,0.8095238095238095,7,True,DetectorDetectGPT
Random,0.5188679245283019,0.7714285714285715,7,True,DetectorDetectGPT
Random,0.5042735042735043,0.7948717948717948,7,True,DetectorDetectGPT
SHAP,0.5682819383259912,0.5641025641025641,7,True,DetectorDetectGPT
Anchor,0.8116591928251121,1.0,8,True,DetectorDetectGPT
LIME,0.6828193832599119,0.5194805194805194,8,True,DetectorDetectGPT
Random,0.4789915966386555,0.7804878048780488,8,True,DetectorDetectGPT
Random,0.5,0.7560975609756098,8,True,DetectorDetectGPT
Random,0.6145833333333334,0.8095238095238095,8,True,DetectorDetectGPT
Random,0.4811320754716981,0.7714285714285715,8,True,DetectorDetectGPT
Random,0.4700854700854701,0.8205128205128205,8,True,DetectorDetectGPT
SHAP,0.5594713656387665,0.5769230769230769,8,True,DetectorDetectGPT
Anchor,0.820627802690583,1.0,9,True,DetectorDetectGPT
LIME,0.6828193832599119,0.5194805194805194,9,True,DetectorDetectGPT
Random,0.453781512605042,0.8292682926829268,9,True,DetectorDetectGPT
Random,0.49107142857142855,0.8048780487804879,9,True,DetectorDetectGPT
Random,0.5208333333333334,0.8333333333333334,9,True,DetectorDetectGPT
Random,0.4528301886792453,0.8285714285714286,9,True,DetectorDetectGPT
Random,0.452991452991453,0.9230769230769231,9,True,DetectorDetectGPT
SHAP,0.5022026431718062,0.6410256410256411,9,True,DetectorDetectGPT
Anchor,0.8161434977578476,1.0,10,True,DetectorDetectGPT
LIME,0.6828193832599119,0.5194805194805194,10,True,DetectorDetectGPT
Random,0.3865546218487395,0.8048780487804879,10,True,DetectorDetectGPT
Random,0.4642857142857143,0.8048780487804879,10,True,DetectorDetectGPT
Random,0.46875,0.8809523809523809,10,True,DetectorDetectGPT
Random,0.4528301886792453,0.8857142857142857,10,True,DetectorDetectGPT
Random,0.4017094017094017,0.8974358974358975,10,True,DetectorDetectGPT
SHAP,0.4845814977973568,0.7435897435897436,10,True,DetectorDetectGPT
Anchor,0.8161434977578476,1.0,15,True,DetectorDetectGPT
Random,0.33613445378151263,0.9024390243902439,15,True,DetectorDetectGPT
Random,0.39285714285714285,0.9024390243902439,15,True,DetectorDetectGPT
Random,0.3854166666666667,0.9047619047619048,15,True,DetectorDetectGPT
Random,0.3584905660377358,0.9142857142857143,15,True,DetectorDetectGPT
Random,0.3418803418803419,0.9487179487179487,15,True,DetectorDetectGPT
SHAP,0.4669603524229075,0.717948717948718,15,True,DetectorDetectGPT
Anchor,0.8161434977578476,1.0,20,True,DetectorDetectGPT
