Explainer,acc_initial_right,acc_initial_wrong,n,mask,Detector
Anchor,1.0,0.0,0,True,DetectorGuo
LIME,1.0,0.0,0,True,DetectorGuo
Random,1.0,0.0,0,True,DetectorGuo
Random,1.0,0.0,0,True,DetectorGuo
Random,1.0,0.0,0,True,DetectorGuo
Random,1.0,0.0,0,True,DetectorGuo
Random,1.0,0.0,0,True,DetectorGuo
SHAP,1.0,0.0,0,True,DetectorGuo
Anchor,0.9966555183946488,,1,True,DetectorGuo
LIME,0.8869257950530035,0.6666666666666666,1,True,DetectorGuo
Random,0.8407643312101911,1.0,1,True,DetectorGuo
Random,0.875,1.0,1,True,DetectorGuo
Random,0.9185185185185185,1.0,1,True,DetectorGuo
Random,0.8857142857142857,1.0,1,True,DetectorGuo
Random,0.8831168831168831,1.0,1,True,DetectorGuo
SHAP,0.9867549668874173,0.0,1,True,DetectorGuo
Anchor,0.9732441471571907,,2,True,DetectorGuo
LIME,0.8056537102473498,1.0,2,True,DetectorGuo
Random,0.7898089171974523,1.0,2,True,DetectorGuo
Random,0.8157894736842105,1.0,2,True,DetectorGuo
Random,0.8592592592592593,1.0,2,True,DetectorGuo
Random,0.8571428571428571,1.0,2,True,DetectorGuo
Random,0.8181818181818182,1.0,2,True,DetectorGuo
SHAP,0.9701986754966887,1.0,2,True,DetectorGuo
Anchor,0.9565217391304348,,3,True,DetectorGuo
LIME,0.696113074204947,1.0,3,True,DetectorGuo
Random,0.7070063694267515,1.0,3,True,DetectorGuo
Random,0.7368421052631579,1.0,3,True,DetectorGuo
Random,0.7851851851851852,1.0,3,True,DetectorGuo
Random,0.7785714285714286,1.0,3,True,DetectorGuo
Random,0.7012987012987013,1.0,3,True,DetectorGuo
SHAP,0.9205298013245033,0.6666666666666666,3,True,DetectorGuo
Anchor,0.8963210702341137,,4,True,DetectorGuo
LIME,0.5830388692579506,1.0,4,True,DetectorGuo
Random,0.6178343949044586,1.0,4,True,DetectorGuo
Random,0.6776315789473685,1.0,4,True,DetectorGuo
