Explainer,acc_initial_right,acc_initial_wrong,n,mask,Detector
Anchor,1.0,0.0,0,True,DetectorRadford
LIME,1.0,0.0,0,True,DetectorRadford
Random,1.0,0.0,0,True,DetectorRadford
Random,1.0,0.0,0,True,DetectorRadford
Random,1.0,0.0,0,True,DetectorRadford
Random,1.0,0.0,0,True,DetectorRadford
Random,1.0,0.0,0,True,DetectorRadford
SHAP,1.0,0.0,0,True,DetectorRadford
Anchor,0.89568345323741,,1,True,DetectorRadford
LIME,0.8042704626334519,0.15,1,True,DetectorRadford
Random,0.8445945945945946,0.16666666666666666,1,True,DetectorRadford
Random,0.9064748201438849,0.2857142857142857,1,True,DetectorRadford
Random,0.9083969465648855,0.2857142857142857,1,True,DetectorRadford
Random,0.8646616541353384,0.25,1,True,DetectorRadford
Random,0.8601398601398601,0.23076923076923078,1,True,DetectorRadford
SHAP,0.8078291814946619,0.16666666666666666,1,True,DetectorRadford
Anchor,0.8345323741007195,,2,True,DetectorRadford
LIME,0.594306049822064,0.15,2,True,DetectorRadford
Random,0.7635135135135135,0.16666666666666666,2,True,DetectorRadford
Random,0.7194244604316546,0.35714285714285715,2,True,DetectorRadford
Random,0.7633587786259542,0.14285714285714285,2,True,DetectorRadford
Random,0.7293233082706767,0.5,2,True,DetectorRadford
Random,0.7342657342657343,0.46153846153846156,2,True,DetectorRadford
SHAP,0.6548042704626335,0.08333333333333333,2,True,DetectorRadford
Anchor,0.7733812949640287,,3,True,DetectorRadford
LIME,0.5302491103202847,0.2,3,True,DetectorRadford
Random,0.6621621621621622,0.16666666666666666,3,True,DetectorRadford
Random,0.697841726618705,0.35714285714285715,3,True,DetectorRadford
Random,0.6793893129770993,0.14285714285714285,3,True,DetectorRadford
Random,0.6466165413533834,0.5,3,True,DetectorRadford
Random,0.6083916083916084,0.46153846153846156,3,True,DetectorRadford
SHAP,0.5765124555160143,0.16666666666666666,3,True,DetectorRadford
Anchor,0.7230215827338129,,4,True,DetectorRadford
LIME,0.4875444839857651,0.2,4,True,DetectorRadford
Random,0.6283783783783784,0.16666666666666666,4,True,DetectorRadford
Random,0.6546762589928058,0.35714285714285715,4,True,DetectorRadford
Random,0.6793893129770993,0.2857142857142857,4,True,DetectorRadford
Random,0.5864661654135338,0.5,4,True,DetectorRadford
Random,0.5944055944055944,0.38461538461538464,4,True,DetectorRadford
SHAP,0.5302491103202847,0.16666666666666666,4,True,DetectorRadford
Anchor,0.6942446043165468,,5,True,DetectorRadford
LIME,0.4626334519572954,0.3,5,True,DetectorRadford
Random,0.6013513513513513,0.16666666666666666,5,True,DetectorRadford
Random,0.6115107913669064,0.35714285714285715,5,True,DetectorRadford
Random,0.6412213740458015,0.42857142857142855,5,True,DetectorRadford
Random,0.5789473684210527,0.5,5,True,DetectorRadford
Random,0.5384615384615384,0.46153846153846156,5,True,DetectorRadford
SHAP,0.49110320284697506,0.125,5,True,DetectorRadford
Anchor,0.6726618705035972,,6,True,DetectorRadford
LIME,0.45907473309608543,0.3,6,True,DetectorRadford
Random,0.5608108108108109,0.16666666666666666,6,True,DetectorRadford
Random,0.6187050359712231,0.42857142857142855,6,True,DetectorRadford
Random,0.6335877862595419,0.42857142857142855,6,True,DetectorRadford
Random,0.5338345864661654,0.5,6,True,DetectorRadford
Random,0.5454545454545454,0.46153846153846156,6,True,DetectorRadford
SHAP,0.46619217081850534,0.20833333333333334,6,True,DetectorRadford
Anchor,0.6726618705035972,,7,True,DetectorRadford
LIME,0.4555160142348754,0.25,7,True,DetectorRadford
Random,0.527027027027027,0.16666666666666666,7,True,DetectorRadford
Random,0.5899280575539568,0.42857142857142855,7,True,DetectorRadford
Random,0.6259541984732825,0.42857142857142855,7,True,DetectorRadford
Random,0.518796992481203,0.5,7,True,DetectorRadford
Random,0.5174825174825175,0.46153846153846156,7,True,DetectorRadford
SHAP,0.4377224199288256,0.125,7,True,DetectorRadford
Anchor,0.6690647482014388,,8,True,DetectorRadford
LIME,0.4483985765124555,0.25,8,True,DetectorRadford
Random,0.5202702702702703,0.16666666666666666,8,True,DetectorRadford
Random,0.5683453237410072,0.42857142857142855,8,True,DetectorRadford
Random,0.6106870229007634,0.42857142857142855,8,True,DetectorRadford
Random,0.5112781954887218,0.5,8,True,DetectorRadford
Random,0.5314685314685315,0.46153846153846156,8,True,DetectorRadford
SHAP,0.44483985765124556,0.16666666666666666,8,True,DetectorRadford
Anchor,0.658273381294964,,9,True,DetectorRadford
LIME,0.44483985765124556,0.2,9,True,DetectorRadford
Random,0.5,0.16666666666666666,9,True,DetectorRadford
Random,0.5539568345323741,0.42857142857142855,9,True,DetectorRadford
Random,0.6030534351145038,0.42857142857142855,9,True,DetectorRadford
Random,0.5037593984962406,0.5,9,True,DetectorRadford
Random,0.4965034965034965,0.46153846153846156,9,True,DetectorRadford
SHAP,0.43416370106761565,0.08333333333333333,9,True,DetectorRadford
Anchor,0.6546762589928058,,10,True,DetectorRadford
LIME,0.44483985765124556,0.2,10,True,DetectorRadford
Random,0.49324324324324326,0.16666666666666666,10,True,DetectorRadford
Random,0.5467625899280576,0.42857142857142855,10,True,DetectorRadford
Random,0.6183206106870229,0.42857142857142855,10,True,DetectorRadford
Random,0.49624060150375937,0.5,10,True,DetectorRadford
Random,0.4965034965034965,0.46153846153846156,10,True,DetectorRadford
SHAP,0.4412811387900356,0.125,10,True,DetectorRadford
Anchor,0.6546762589928058,,15,True,DetectorRadford
Random,0.4864864864864865,0.16666666666666666,15,True,DetectorRadford
Random,0.5251798561151079,0.42857142857142855,15,True,DetectorRadford
Random,0.5572519083969466,0.42857142857142855,15,True,DetectorRadford
Random,0.48872180451127817,0.5,15,True,DetectorRadford
Random,0.48951048951048953,0.46153846153846156,15,True,DetectorRadford
SHAP,0.35587188612099646,0.125,15,True,DetectorRadford
Anchor,0.6546762589928058,,20,True,DetectorRadford
Random,0.4864864864864865,0.16666666666666666,20,True,DetectorRadford
Random,0.5251798561151079,0.42857142857142855,20,True,DetectorRadford
Random,0.5648854961832062,0.42857142857142855,20,True,DetectorRadford
Random,0.45112781954887216,0.5,20,True,DetectorRadford
Random,0.46153846153846156,0.46153846153846156,20,True,DetectorRadford
SHAP,0.3167259786476868,0.16666666666666666,20,True,DetectorRadford
Anchor,0.6546762589928058,,30,True,DetectorRadford
Random,0.4594594594594595,0.16666666666666666,30,True,DetectorRadford
Random,0.4748201438848921,0.42857142857142855,30,True,DetectorRadford
Random,0.5114503816793893,0.2857142857142857,30,True,DetectorRadford
Random,0.42857142857142855,0.5,30,True,DetectorRadford
Random,0.43356643356643354,0.46153846153846156,30,True,DetectorRadford
SHAP,0.28113879003558717,0.16666666666666666,30,True,DetectorRadford
Anchor,0.6546762589928058,,40,True,DetectorRadford
Random,0.3918918918918919,0.16666666666666666,40,True,DetectorRadford
Random,0.4316546762589928,0.5,40,True,DetectorRadford
Random,0.4580152671755725,0.14285714285714285,40,True,DetectorRadford
Random,0.3533834586466165,0.375,40,True,DetectorRadford
Random,0.38461538461538464,0.5384615384615384,40,True,DetectorRadford
SHAP,0.2526690391459075,0.25,40,True,DetectorRadford
